classifier_name,dataset_name,accuracy
modularity_any2,cora_DB_logKatz_4,0.19729584412149953
modularity_any3,cora_DB_logKatz_4,0.19729584412149953
inertia_one,cora_DB_For_0,0.015290515799965885
inertia_all,cora_DB_For_0,0.1630191322016789
inertia_kmp,cora_DB_For_0,0.08532469816294547
inertia_any2,cora_DB_For_0,0.16765998867428736
inertia_any3,cora_DB_For_0,0.16765998867428736
modularity_one,cora_DB_For_0,0.06560007350959966
modularity_all,cora_DB_For_0,0.16533025570846355
modularity_kmp,cora_DB_For_0,0.08532469816294547
modularity_any2,cora_DB_For_0,0.1843411276314297
modularity_any3,cora_DB_For_0,0.1843411276314297
inertia_one,cora_DB_For_1,0.06913898067661799
inertia_all,cora_DB_For_1,0.16766828203829204
inertia_kmp,cora_DB_For_1,0.038923504744052324
inertia_any2,cora_DB_For_1,0.16868432970235084
inertia_any3,cora_DB_For_1,0.1713014146183554
modularity_one,cora_DB_For_1,0.09484833752602059
modularity_all,cora_DB_For_1,0.15856852234153404
modularity_kmp,cora_DB_For_1,0.092129818831359
modularity_any2,cora_DB_For_1,0.1908199038592045
modularity_any3,cora_DB_For_1,0.1908199038592045
inertia_one,cora_DB_For_2,0.06913898067661799
inertia_all,cora_DB_For_2,0.16766828203829204
inertia_kmp,cora_DB_For_2,0.038923504744052324
inertia_any2,cora_DB_For_2,0.1713014146183554
inertia_any3,cora_DB_For_2,0.16766828203829204
modularity_one,cora_DB_For_2,0.09484833752602059
modularity_all,cora_DB_For_2,0.15856852234153404
modularity_kmp,cora_DB_For_2,0.092129818831359
modularity_any2,cora_DB_For_2,0.18831768645972702
modularity_any3,cora_DB_For_2,0.18831768645972702
inertia_one,cora_DB_For_3,0.06913898067661799
inertia_all,cora_DB_For_3,0.16766828203829204
inertia_kmp,cora_DB_For_3,0.038923504744052324
inertia_any2,cora_DB_For_3,0.1913485818593905
inertia_any3,cora_DB_For_3,0.1913485818593905
modularity_one,cora_DB_For_3,0.09484833752602059
modularity_all,cora_DB_For_3,0.15856852234153404
modularity_kmp,cora_DB_For_3,0.092129818831359
modularity_any2,cora_DB_For_3,0.18831768645972702
modularity_any3,cora_DB_For_3,0.16393508012986313
inertia_one,cora_DB_For_4,0.06913898067661799
inertia_all,cora_DB_For_4,0.16766828203829204
inertia_kmp,cora_DB_For_4,0.038923504744052324
inertia_any2,cora_DB_For_4,0.1796477634075981
inertia_any3,cora_DB_For_4,0.1796477634075981
modularity_one,cora_DB_For_4,0.09484833752602059
modularity_all,cora_DB_For_4,0.15856852234153404
modularity_kmp,cora_DB_For_4,0.092129818831359
modularity_any2,cora_DB_For_4,0.17071249569201166
modularity_any3,cora_DB_For_4,0.17071249569201166
inertia_one,cora_DB_logFor_0,0.18902736592176825
inertia_all,cora_DB_logFor_0,0.19378975891258785
inertia_kmp,cora_DB_logFor_0,0.22364937929596837
inertia_any2,cora_DB_logFor_0,0.2190910281212149
inertia_any3,cora_DB_logFor_0,0.2190910281212149
modularity_one,cora_DB_logFor_0,0.21663902444630842
modularity_all,cora_DB_logFor_0,0.21192517752699488
modularity_kmp,cora_DB_logFor_0,0.21727377217625699
modularity_any2,cora_DB_logFor_0,0.21727377217625699
modularity_any3,cora_DB_logFor_0,0.21727377217625699
inertia_one,cora_DB_logFor_1,0.18652061837173817
inertia_all,cora_DB_logFor_1,0.20714677999570136
inertia_kmp,cora_DB_logFor_1,0.24706475756702415
inertia_any2,cora_DB_logFor_1,0.24706475756702415
inertia_any3,cora_DB_logFor_1,0.24706475756702415
modularity_one,cora_DB_logFor_1,0.2111278800573888
modularity_all,cora_DB_logFor_1,0.20726851452228415
modularity_kmp,cora_DB_logFor_1,0.21145090513913767
modularity_any2,cora_DB_logFor_1,0.20901714045368625
modularity_any3,cora_DB_logFor_1,0.20976796306760193
inertia_one,cora_DB_logFor_2,0.18652061837173817
inertia_all,cora_DB_logFor_2,0.22234206814278107
inertia_kmp,cora_DB_logFor_2,0.24706475756702415
inertia_any2,cora_DB_logFor_2,0.21962761652016627
inertia_any3,cora_DB_logFor_2,0.20431409348708757
modularity_one,cora_DB_logFor_2,0.2111278800573888
modularity_all,cora_DB_logFor_2,0.20726851452228415
modularity_kmp,cora_DB_logFor_2,0.21145090513913767
modularity_any2,cora_DB_logFor_2,0.24620882992588397
modularity_any3,cora_DB_logFor_2,0.24620882992588397
inertia_one,cora_DB_logFor_3,0.18652061837173817
inertia_all,cora_DB_logFor_3,0.22234206814278107
inertia_kmp,cora_DB_logFor_3,0.24706475756702415
inertia_any2,cora_DB_logFor_3,0.22234206814278107
inertia_any3,cora_DB_logFor_3,0.22234206814278107
modularity_one,cora_DB_logFor_3,0.2111278800573888
modularity_all,cora_DB_logFor_3,0.20726851452228415
modularity_kmp,cora_DB_logFor_3,0.21145090513913767
modularity_any2,cora_DB_logFor_3,0.20995123921574452
modularity_any3,cora_DB_logFor_3,0.20995123921574452
